gndId,preferredName,bio,dateOfBirth,dateOfDeath,placeOfBirth,placeOfDeath,professionOrOccupation,sameAs
https://d-nb.info/gnd/104309040,"Töpfer, Karl",Dt. Dramatiker; Lustspieldichter; Bühnendichter; Schauspieler; Musiker; Sänger; Schriftsteller und eventuell auch Freimaurer,1792-12-26,1871-08-22,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4023118-5,_:bn260552,http://www.wikidata.org/entity/Q16650514
https://d-nb.info/gnd/104309040,"Töpfer, Karl",Dt. Dramatiker; Lustspieldichter; Bühnendichter; Schauspieler; Musiker; Sänger; Schriftsteller und eventuell auch Freimaurer,1792-12-26,1871-08-22,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4023118-5,_:bn260552,https://d-nb.info/gnd/1055096892
https://d-nb.info/gnd/104309040,"Töpfer, Karl",Dt. Dramatiker; Lustspieldichter; Bühnendichter; Schauspieler; Musiker; Sänger; Schriftsteller und eventuell auch Freimaurer,1792-12-26,1871-08-22,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4023118-5,_:bn260552,https://d-nb.info/gnd/1089998864
https://d-nb.info/gnd/104309040,"Töpfer, Karl",Dt. Dramatiker; Lustspieldichter; Bühnendichter; Schauspieler; Musiker; Sänger; Schriftsteller und eventuell auch Freimaurer,1792-12-26,1871-08-22,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4023118-5,_:bn260552,https://isni.org/isni/0000000109940558
https://d-nb.info/gnd/104325011,"Schmidt, Friedrich Ludwig",In erster Ehe bis 1794 verheiratet mit Schauspielerin Louise Wilhelmine Löwe; in zweiter Ehe ab 1796 mit Henriette Moers.,1772-08-05,1841-04-13,https://d-nb.info/gnd/4023349-2,https://d-nb.info/gnd/4023118-5,_:bn9896747,http://id.loc.gov/rwo/agents/no2001087085
https://d-nb.info/gnd/104325011,"Schmidt, Friedrich Ludwig",In erster Ehe bis 1794 verheiratet mit Schauspielerin Louise Wilhelmine Löwe; in zweiter Ehe ab 1796 mit Henriette Moers.,1772-08-05,1841-04-13,https://d-nb.info/gnd/4023349-2,https://d-nb.info/gnd/4023118-5,_:bn9896747,http://viaf.org/viaf/69366690
https://d-nb.info/gnd/104325011,"Schmidt, Friedrich Ludwig",In erster Ehe bis 1794 verheiratet mit Schauspielerin Louise Wilhelmine Löwe; in zweiter Ehe ab 1796 mit Henriette Moers.,1772-08-05,1841-04-13,https://d-nb.info/gnd/4023349-2,https://d-nb.info/gnd/4023118-5,_:bn9896747,http://www.wikidata.org/entity/Q16471530
https://d-nb.info/gnd/104325011,"Schmidt, Friedrich Ludwig",In erster Ehe bis 1794 verheiratet mit Schauspielerin Louise Wilhelmine Löwe; in zweiter Ehe ab 1796 mit Henriette Moers.,1772-08-05,1841-04-13,https://d-nb.info/gnd/4023349-2,https://d-nb.info/gnd/4023118-5,_:bn9896747,https://isni.org/isni/0000000042049399
https://d-nb.info/gnd/105607231,"Riese, Friedrich Wilhelm",,1807-02-24,1879-11-15,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4041476-0,_:bn281206,http://viaf.org/viaf/130931229
https://d-nb.info/gnd/105607231,"Riese, Friedrich Wilhelm",,1807-02-24,1879-11-15,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4041476-0,_:bn281206,http://www.wikidata.org/entity/Q85481
https://d-nb.info/gnd/105607231,"Riese, Friedrich Wilhelm",,1807-02-24,1879-11-15,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4041476-0,_:bn281206,https://isni.org/isni/0000000117027558
https://d-nb.info/gnd/105607231,"Riese, Friedrich Wilhelm",,1807-02-24,1879-11-15,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4041476-0,_:bn281206,https://www.filmportal.de/58A9A31B200A43698E2492D4E6D417E7
https://d-nb.info/gnd/116207523,"Blum, Carl",,1785,1844-07-02,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10059555,https://isni.org/isni/000000010890589X
https://d-nb.info/gnd/116207523,"Blum, Carl",,1785,1844-07-02,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10059555,http://id.loc.gov/rwo/agents/no93010511
https://d-nb.info/gnd/116207523,"Blum, Carl",,1785,1844-07-02,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10059555,http://viaf.org/viaf/40124084
https://d-nb.info/gnd/116207523,"Blum, Carl",,1785,1844-07-02,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10059555,http://www.wikidata.org/entity/Q110163
https://d-nb.info/gnd/116311118,"Angely, Louis","Louis Angely verfasste vornehmlich Possen und Vaudevilles nach französischer Vorlage, die er an das Berliner Milieu anpasste",1787-02-01,1835-11-16,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4005728-8,_:bn468015,http://id.loc.gov/rwo/agents/no00013856
https://d-nb.info/gnd/116311118,"Angely, Louis","Louis Angely verfasste vornehmlich Possen und Vaudevilles nach französischer Vorlage, die er an das Berliner Milieu anpasste",1787-02-01,1835-11-16,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4005728-8,_:bn468015,http://viaf.org/viaf/13054762
https://d-nb.info/gnd/116311118,"Angely, Louis","Louis Angely verfasste vornehmlich Possen und Vaudevilles nach französischer Vorlage, die er an das Berliner Milieu anpasste",1787-02-01,1835-11-16,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4005728-8,_:bn468015,http://www.wikidata.org/entity/Q76070
https://d-nb.info/gnd/116311118,"Angely, Louis","Louis Angely verfasste vornehmlich Possen und Vaudevilles nach französischer Vorlage, die er an das Berliner Milieu anpasste",1787-02-01,1835-11-16,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4005728-8,_:bn468015,https://dbpedia.org/resource/Louis_Angely
https://d-nb.info/gnd/116311118,"Angely, Louis","Louis Angely verfasste vornehmlich Possen und Vaudevilles nach französischer Vorlage, die er an das Berliner Milieu anpasste",1787-02-01,1835-11-16,https://d-nb.info/gnd/4035206-7,https://d-nb.info/gnd/4005728-8,_:bn468015,https://isni.org/isni/0000000109557487
https://d-nb.info/gnd/116452145,"Ellmenreich, Friederike",Tochter der Schauspielerin Marianne Rouillon.,1775-10-24,1845-04-05,https://d-nb.info/gnd/4031616-6,https://d-nb.info/gnd/4053950-7,_:bn498757,http://id.loc.gov/rwo/agents/n2016032597
https://d-nb.info/gnd/116452145,"Ellmenreich, Friederike",Tochter der Schauspielerin Marianne Rouillon.,1775-10-24,1845-04-05,https://d-nb.info/gnd/4031616-6,https://d-nb.info/gnd/4053950-7,_:bn498757,http://viaf.org/viaf/17323158
https://d-nb.info/gnd/116452145,"Ellmenreich, Friederike",Tochter der Schauspielerin Marianne Rouillon.,1775-10-24,1845-04-05,https://d-nb.info/gnd/4031616-6,https://d-nb.info/gnd/4053950-7,_:bn498757,http://www.wikidata.org/entity/Q1457035
https://d-nb.info/gnd/116452145,"Ellmenreich, Friederike",Tochter der Schauspielerin Marianne Rouillon.,1775-10-24,1845-04-05,https://d-nb.info/gnd/4031616-6,https://d-nb.info/gnd/4053950-7,_:bn498757,https://isni.org/isni/0000000013401832
https://d-nb.info/gnd/116616261,"Kurländer, Franz August von",Ratssekretär; Dt. Dramatiker und Übersetzer,1777-11-26,1836-09-04,https://d-nb.info/gnd/4066009-6,https://d-nb.info/gnd/4066009-6,_:bn531208,http://viaf.org/viaf/72149971
https://d-nb.info/gnd/116616261,"Kurländer, Franz August von",Ratssekretär; Dt. Dramatiker und Übersetzer,1777-11-26,1836-09-04,https://d-nb.info/gnd/4066009-6,https://d-nb.info/gnd/4066009-6,_:bn531208,http://www.wikidata.org/entity/Q55122987
https://d-nb.info/gnd/116616261,"Kurländer, Franz August von",Ratssekretär; Dt. Dramatiker und Übersetzer,1777-11-26,1836-09-04,https://d-nb.info/gnd/4066009-6,https://d-nb.info/gnd/4066009-6,_:bn531208,https://isni.org/isni/0000000066786625
https://d-nb.info/gnd/116686030,"Cosmar, Alexander",,1805-05-12,1842-01-27,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10117204,http://viaf.org/viaf/52447967
https://d-nb.info/gnd/116686030,"Cosmar, Alexander",,1805-05-12,1842-01-27,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10117204,https://isni.org/isni/0000000110627331
https://d-nb.info/gnd/116686030,"Cosmar, Alexander",,1805-05-12,1842-01-27,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10117204,http://www.wikidata.org/entity/Q19125906
https://d-nb.info/gnd/116686030,"Cosmar, Alexander",,1805-05-12,1842-01-27,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/4005728-8,_:bn10117204,http://id.loc.gov/rwo/agents/no2002058728
https://d-nb.info/gnd/116746823,"Herrmann, B. A.",,1806-10-18,1876-05-29,https://d-nb.info/gnd/4023118-5,https://d-nb.info/gnd/4023118-5,_:bn546196,http://viaf.org/viaf/67225077
https://d-nb.info/gnd/116746823,"Herrmann, B. A.",,1806-10-18,1876-05-29,https://d-nb.info/gnd/4023118-5,https://d-nb.info/gnd/4023118-5,_:bn546196,http://www.wikidata.org/entity/Q55123021
https://d-nb.info/gnd/116752505,"Franul von Weißenthurn, Johanna",,1772-02-16,1847-05-17,https://d-nb.info/gnd/4031410-8,https://d-nb.info/gnd/4066009-6,_:bn547965,http://id.loc.gov/rwo/agents/no2006122722
https://d-nb.info/gnd/116752505,"Franul von Weißenthurn, Johanna",,1772-02-16,1847-05-17,https://d-nb.info/gnd/4031410-8,https://d-nb.info/gnd/4066009-6,_:bn547965,http://viaf.org/viaf/8147834
https://d-nb.info/gnd/116752505,"Franul von Weißenthurn, Johanna",,1772-02-16,1847-05-17,https://d-nb.info/gnd/4031410-8,https://d-nb.info/gnd/4066009-6,_:bn547965,http://www.wikidata.org/entity/Q1696932
https://d-nb.info/gnd/116752505,"Franul von Weißenthurn, Johanna",,1772-02-16,1847-05-17,https://d-nb.info/gnd/4031410-8,https://d-nb.info/gnd/4066009-6,_:bn547965,https://d-nb.info/gnd/1055098208
https://d-nb.info/gnd/116752505,"Franul von Weißenthurn, Johanna",,1772-02-16,1847-05-17,https://d-nb.info/gnd/4031410-8,https://d-nb.info/gnd/4066009-6,_:bn547965,https://d-nb.info/gnd/1089896182
https://d-nb.info/gnd/116752505,"Franul von Weißenthurn, Johanna",,1772-02-16,1847-05-17,https://d-nb.info/gnd/4031410-8,https://d-nb.info/gnd/4066009-6,_:bn547965,https://isni.org/isni/0000000117409791
https://d-nb.info/gnd/116836709,"Schneider, Louis",Sammlung von Theaterzetteln und Porträts im Besitz der Staatsbibliothek zu Berlin.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,http://id.loc.gov/rwo/agents/no2002099303
https://d-nb.info/gnd/116836709,"Schneider, Louis",Vorleser des preußischen Königs Friedrich Wilhelm IV.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,https://isni.org/isni/0000000110465889
https://d-nb.info/gnd/116836709,"Schneider, Louis",Sammlung von Theaterzetteln und Porträts im Besitz der Staatsbibliothek zu Berlin.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,https://isni.org/isni/0000000110465889
https://d-nb.info/gnd/116836709,"Schneider, Louis",Vorleser des preußischen Königs Friedrich Wilhelm IV.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,https://dbpedia.org/resource/Louis_Schneider_(actor)
https://d-nb.info/gnd/116836709,"Schneider, Louis",Sammlung von Theaterzetteln und Porträts im Besitz der Staatsbibliothek zu Berlin.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,https://dbpedia.org/resource/Louis_Schneider_(actor)
https://d-nb.info/gnd/116836709,"Schneider, Louis",Sammlung von Theaterzetteln und Porträts im Besitz der Staatsbibliothek zu Berlin.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,http://www.wikidata.org/entity/Q214659
https://d-nb.info/gnd/116836709,"Schneider, Louis",Vorleser des preußischen Königs Friedrich Wilhelm IV.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,http://www.wikidata.org/entity/Q214659
https://d-nb.info/gnd/116836709,"Schneider, Louis",Vorleser des preußischen Königs Friedrich Wilhelm IV.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,http://id.loc.gov/rwo/agents/no2002099303
https://d-nb.info/gnd/116836709,"Schneider, Louis",Vorleser des preußischen Königs Friedrich Wilhelm IV.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,http://viaf.org/viaf/24701939
https://d-nb.info/gnd/116836709,"Schneider, Louis",Sammlung von Theaterzetteln und Porträts im Besitz der Staatsbibliothek zu Berlin.,1805-04-29,1878-12-16,https://d-nb.info/gnd/4005728-8,https://d-nb.info/gnd/1140505823,_:bn554998,http://viaf.org/viaf/24701939
https://d-nb.info/gnd/116850310,"Lebrun, Carl",,1792-10-08,1842-07-25,https://d-nb.info/gnd/4022987-7,https://d-nb.info/gnd/4023118-5,_:bn558950,http://id.loc.gov/rwo/agents/n83227377
https://d-nb.info/gnd/116850310,"Lebrun, Carl",,1792-10-08,1842-07-25,https://d-nb.info/gnd/4022987-7,https://d-nb.info/gnd/4023118-5,_:bn558950,http://viaf.org/viaf/49987551
https://d-nb.info/gnd/116850310,"Lebrun, Carl",,1792-10-08,1842-07-25,https://d-nb.info/gnd/4022987-7,https://d-nb.info/gnd/4023118-5,_:bn558950,http://www.wikidata.org/entity/Q125304
https://d-nb.info/gnd/116850310,"Lebrun, Carl",,1792-10-08,1842-07-25,https://d-nb.info/gnd/4022987-7,https://d-nb.info/gnd/4023118-5,_:bn558950,https://d-nb.info/gnd/116850302
https://d-nb.info/gnd/116850310,"Lebrun, Carl",,1792-10-08,1842-07-25,https://d-nb.info/gnd/4022987-7,https://d-nb.info/gnd/4023118-5,_:bn558950,https://isni.org/isni/0000000109699485
